Data,Agentnummer,counter,waarde
1/10/2016 7:31,1,1,"Microsoft Windows NT 6.3.9600.0
"
1/10/2016 7:31,1,1,"Microsoft Windows NT 6.3.9600.0
"
1/10/2016 7:32,1,1,"Microsoft Windows NT 6.3.9600.0
"
1/10/2016 7:34,1,6,"00:25:39.7713388
"
1/10/2016 7:35,1,5,"192.168.175.138
"
1/10/2016 7:35,1,4,"44.42 GB
"
1/10/2016 7:35,1,3,"1.22 GB
"
1/10/2016 7:35,1,2,"Administrator
"
1/10/2016 7:37,1,2,"Administrator
"
1/10/2016 7:37,1,5,"192.168.175.138
"
01/10/16 07:38:17,1,6,"00:29:01.0844043
"
01/10/16 09:19:38,1,2,"Administrator
"
01/10/16 09:19:46,1,5,"192.168.175.138
"
01/10/16 10:12:02,1,2,"Administrator
"
01/11/16 01:27:36,1,2,"Administrator
"
01/11/16 01:28:17,2,3,"1.23 GB
"
01/11/16 01:31:18,1,1,"Microsoft Windows NT 6.3.9600.0
"
01/11/16 01:32:00,1,1,"Microsoft Windows NT 6.3.9600.0
"
01/11/16 01:34:05,1,1,"Microsoft Windows NT 6.3.9600.0
"
01/11/16 01:38:00,1,1,"Microsoft Windows NT 6.3.9600.0
"
01/11/16 01:39:02,1,1,"Microsoft Windows NT 6.3.9600.0
"
01/11/16 01:42:00,1,2,"Administrator
"
01/11/16 01:42:09,1,3,"1.25 GB
"
01/11/16 01:43:45,1,4,"44.34 GB
"
01/11/16 01:45:22,1,5,"192.168.175.138
"
01/11/16 01:49:24,1,6,"00:23:19.0144669
"
01/11/16 01:50:43,1,6,"00:24:37.7937475
"
